ID;age;sex;breed;date_found;adoptable_from;posted;color;coat;size;neutered;housebroken;likes_people;likes_children;get_along_males;get_along_females;get_along_cats;keep_in
81;3.08;female;Unknown Mix;2019-05-10;2019-05-10;2019-11-21;black and white;short;medium;yes;;yes;;;;;both flat and garden
82;0.25;female;Unknown Mix;2019-11-21;2019-12-06;2019-11-21;gray and white;short;medium;no;;;;;;;
83;1.0;male;Unknown Mix;2019-11-22;2019-11-22;2019-11-22;yellow-brown;short;medium;yes;;;;;;;
84;1.58;male;Greyhound Mix;2019-10-18;2019-11-20;2019-11-19;black and white;short;medium;yes;;yes;;;;;both flat and garden
85;1.0;male;Staffordshire Terrier Mix;2019-11-25;2019-12-10;2019-11-25;black and white;short;medium;;;;;;;;
86;5.0;male;Unknown Mix;2019-11-21;2019-11-21;2019-11-21;striped;short;medium;yes;;;;;;;
87;0.5;male;Unknown Mix;2019-11-11;2019-11-11;2019-11-17;white;short;small;;;yes;;yes;yes;;both flat and garden
88;5.58;female;Unknown Mix;2019-08-10;2019-08-10;2019-11-21;yellow-brown;short;medium;yes;;yes;yes;yes;yes;;both flat and garden
89;0.17;male;Unknown Mix;2019-11-12;2019-11-12;2019-11-17;apricot;short;small;;;yes;;yes;yes;;both flat and garden
90;2.42;male;Dachshund, Fox Terrier Mix;2019-06-12;2019-06-12;2019-11-24;apricot;short;medium;yes;yes;yes;yes;yes;yes;;both flat and garden
91;0.33;female;Chinese Shar-Pei, Dachshund Mix;2019-11-18;2019-11-18;2019-11-19;apricot;short;medium;;;yes;yes;yes;yes;yes;both flat and garden
92;0.58;male;Unknown Mix;2019-05-15;2019-05-15;2019-11-21;tricolor;short;medium;yes;;yes;yes;yes;yes;;both flat and garden
93;1.25;male;Unknown Mix;2019-02-14;2019-02-14;2019-11-21;gray and black;medium;small;yes;;yes;yes;yes;yes;;both flat and garden
94;3.08;female;Unknown Mix;2019-10-31;2019-10-31;2019-11-17;black and white;short;small;;;yes;;;;;both flat and garden
95;0.17;female;Staffordshire Terrier;2019-10-01;2019-10-01;2019-11-24;golden;short;medium;yes;;yes;yes;yes;yes;;
96;0.75;male;Bull Terrier Mix;2019-11-17;2019-11-25;2019-11-24;striped;short;medium;;;yes;;yes;yes;;flat
97;7.0;female;Fox Terrier Mix;2019-11-18;2019-11-18;2019-11-19;black and white;wirehaired;small;no;yes;yes;no;yes;yes;no;both flat and garden
98;0.25;male;Unknown Mix;2019-11-24;2019-12-09;2019-11-25;striped;short;medium;;;;;;;;
99;9.33;female;German Shepherd Dog Mix;2019-11-14;2019-11-29;2019-11-14;saddle back;medium;large;no;;;;;;;
100;13.08;female;German Shepherd Dog Mix;2019-11-13;2019-11-28;2019-11-14;sable;medium;large;yes;;;;;;;
101;5.0;male;Unknown Mix;2019-11-14;2019-11-29;2019-11-14;black and white;short;large;yes;;;;;;;
102;1.0;male;Unknown Mix;2019-10-26;2019-11-10;2019-11-14;yellow-brown;short;small;no;;;;;;;
103;1.25;male;Beagle, Hound Mix;2019-11-12;2019-11-12;2019-11-12;tricolor;short;medium;no;;yes;yes;no;yes;no;both flat and garden
104;7.58;female;Unknown Mix;2013-04-17;2013-04-17;2019-11-13;black;wirehaired;medium;yes;;;;;;;garden
105;10.75;male;Greyhound Mix;2019-11-06;2019-11-06;2019-11-14;spotty;short;medium;yes;yes;yes;;;;;flat
106;3.0;male;Unknown Mix;2019-10-26;2019-11-10;2019-11-14;yellow-brown;short;small;no;;;;;;;
107;8.33;male;Unknown Mix;2012-08-25;2012-08-25;2019-11-13;black;wirehaired;large;yes;;;;;;;garden
108;8.0;female;Unknown Mix;2019-11-16;2019-12-01;2019-11-16;yellow-brown;short;large;no;;;;;;;
109;5.5;female;Unknown Mix;2019-11-16;2019-12-01;2019-11-16;striped;short;large;no;;;;;;;
110;1.0;male;Greyhound Mix;2019-09-09;2019-11-10;2019-11-14;black;short;medium;yes;;;;;;;
111;9.67;male;Terrier Mix;2013-04-17;2013-04-17;2019-11-13;yellow-brown;wirehaired;medium;;;;;;;;garden
112;1.08;female;Unknown Mix;2019-11-11;2019-12-14;2019-11-13;black;short;medium;;;yes;yes;yes;;;garden
113;12.67;male;Unknown Mix;2009-03-01;2009-03-01;2019-11-13;white;long;large;;;;;;;;
114;0.42;female;Dachshund, German Shepherd Dog Mix;2019-11-11;2019-11-11;2019-11-12;black;short;small;no;;yes;yes;yes;yes;yes;both flat and garden
115;4.25;male;Unknown Mix;2018-03-16;2018-03-16;2019-11-14;apricot;short;large;yes;yes;yes;;no;yes;yes;both flat and garden
116;1.17;male;Staffordshire Terrier Mix;2019-11-12;2019-11-12;2019-11-12;striped;short;medium;yes;yes;yes;yes;yes;yes;;both flat and garden
117;0.17;female;Unknown Mix;2019-09-20;2019-09-20;2019-11-14;black;short;medium;;no;yes;yes;yes;yes;yes;both flat and garden
118;2.0;male;Unknown Mix;2019-10-26;2019-11-10;2019-11-14;yellow-brown;short;small;no;;;;;;;
119;6.08;male;Staffordshire Terrier Mix;2019-11-06;2019-11-21;2019-11-06;brown and white;short;medium;no;;;;;;;
120;6.5;male;Unknown Mix;2019-10-07;2019-10-07;2019-11-02;black;short;medium;yes;;;;;;;
121;1.08;female;German Shepherd Dog Mix;2019-11-06;2019-11-21;2019-11-06;saddle back;medium;medium;no;;;;;;;
122;7.33;male;Unknown Mix;2019-10-07;2019-10-07;2019-11-02;brown;short;large;;;;;;;;
123;3.5;female;Cane Corso Mix;2019-10-07;2019-10-07;2019-11-02;brown;short;large;yes;;;;;;;
124;0.5;male;Jagd Terrier Mix;2019-11-01;2019-11-01;2019-11-02;black and tan;short;medium;;;yes;yes;;;;both flat and garden
125;0.5;female;Unknown Mix;2019-10-31;2019-10-31;2019-11-06;white;short;small;;;yes;;yes;yes;;both flat and garden
126;1.33;male;Unknown Mix;2019-11-11;2019-11-11;2019-11-11;black;short;small;yes;;yes;yes;yes;yes;yes;both flat and garden
127;2.25;male;Whippet Mix;2019-11-01;2019-11-02;2019-11-10;spotty;short;medium;yes;yes;;;;;;flat
128;1.42;female;Unknown Mix;2019-11-02;2019-12-14;2019-11-05;black and brown;short;small;;;yes;;yes;;;garden
129;0.5;male;Unknown Mix;2019-10-31;2019-10-31;2019-11-06;black and brown;short;small;;;yes;;yes;yes;;both flat and garden
130;2.33;female;Unknown Mix;2019-10-07;2019-10-07;2019-11-02;brown;short;medium;yes;;;;;;;
131;1.58;male;Unknown Mix;2019-10-07;2019-10-07;2019-11-06;brown;short;large;yes;;;;;;;
132;3.25;male;Norfolk Terrier Mix;2019-11-11;2019-11-11;2019-11-11;brown and white;short;small;yes;;yes;yes;yes;yes;yes;both flat and garden
133;0.75;female;Unknown Mix;2019-10-06;2019-10-06;2019-11-06;brown;short;small;;;yes;;yes;yes;;both flat and garden
134;1.58;female;Unknown Mix;2019-10-31;2019-10-31;2019-11-06;apricot;medium;small;;;yes;;yes;yes;;both flat and garden
135;2.58;female;Unknown Mix;2019-11-02;2019-11-02;2019-11-02;brown and white;short;medium;yes;;;;;;;
136;1.17;male;Greyhound Mix;2019-11-05;2019-11-06;2019-11-05;spotty;short;medium;yes;yes;yes;;;;;flat
137;0.67;male;Unknown Mix;2019-10-31;2019-10-31;2019-11-06;apricot;short;medium;;;yes;;;;;both flat and garden
138;0.15;male;Unknown Mix;2019-10-24;2019-10-24;2019-11-06;black and brown;medium;medium;;;yes;;yes;yes;;both flat and garden
139;2.17;female;Dalmatian Mix;2019-10-14;2020-01-01;2019-10-20;white;short;medium;;;;;;;;garden
140;0.25;male;Unknown Mix;2019-09-19;2019-11-01;2019-10-21;white;short;medium;no;;yes;yes;yes;yes;yes;both flat and garden
141;11.08;female;Greyhound Mix;2019-08-31;2019-09-03;2019-10-26;yellow;short;medium;yes;yes;yes;yes;yes;yes;;flat
142;3.17;female;Unknown Mix;2019-10-14;2019-11-16;2019-10-20;striped;short;medium;yes;;yes;yes;yes;;;both flat and garden
143;0.25;male;Unknown Mix;2019-09-19;2019-09-19;2019-10-21;brown;short;medium;no;;yes;yes;yes;yes;yes;both flat and garden
144;4.08;female;Bull Terrier Mix;2019-10-01;2019-10-01;2019-10-22;striped;short;small;no;;yes;yes;yes;yes;no;both flat and garden
145;0.92;male;Greyhound Mix;2019-10-29;2019-10-30;2019-10-29;white;short;medium;yes;;yes;;;;;flat
146;0.67;female;Unknown Mix;2019-10-25;2019-10-25;2019-10-27;black;short;small;;;yes;;yes;yes;;both flat and garden
147;0.5;male;Greyhound Mix;2019-10-21;2019-11-15;2019-10-23;black and white;short;medium;yes;;yes;yes;yes;yes;;flat
148;6.5;male;Unknown Mix;2019-10-07;2019-10-07;2019-10-27;black;short;medium;yes;;;;;;;
149;1.08;male;Unknown Mix;2019-10-25;2019-10-25;2019-10-26;gray and black;wirehaired;large;no;;;;;;;
150;3.08;male;Border Collie Mix;2019-09-10;2019-09-10;2019-10-28;black and white;medium;medium;;yes;yes;no;no;no;no;
151;5.08;male;Unknown Mix;2019-10-20;2019-10-20;2019-10-27;apricot;short;small;;;yes;;yes;yes;no;both flat and garden
152;11.08;female;Puli Mix;2019-04-15;2019-04-15;2019-10-23;black;long;medium;yes;yes;yes;yes;yes;yes;;flat
153;0.67;male;Unknown Mix;2019-10-22;2019-10-22;2019-10-27;black and brown;medium;small;;;yes;yes;yes;yes;yes;both flat and garden
154;9.08;male;Unknown Mix;2019-06-30;2019-07-30;2019-10-23;yellow-brown;long;medium;yes;yes;yes;no;yes;yes;;both flat and garden
155;6.25;female;Unknown Mix;2019-07-27;2019-09-01;2019-10-23;black and white;short;small;yes;yes;yes;yes;yes;yes;;flat
156;1.17;female;Terrier Mix;2019-10-11;2019-11-16;2019-10-20;black and brown;wirehaired;medium;;;yes;yes;yes;;;both flat and garden
157;12.08;male;Unknown Mix;2019-10-22;2019-10-22;2019-10-30;gray and black;wirehaired;medium;no;;yes;yes;yes;yes;yes;both flat and garden
158;0.67;male;Unknown Mix;2019-10-25;2019-10-25;2019-10-27;black;short;small;;;yes;;yes;yes;;both flat and garden
159;1.08;male;Unknown Mix;2019-10-18;2019-10-18;2019-10-18;black and white;long;medium;;;yes;;yes;yes;;both flat and garden
160;7.17;female;Labrador Retriever;2019-05-01;2019-05-01;2019-10-11;yellow;short;large;;;;;;;;
161;0.58;male;Greyhound Mix;2019-07-01;2019-08-02;2019-10-19;striped;short;medium;yes;yes;yes;yes;yes;yes;;flat
162;5.17;male;Golden Retriever, Labrador Retriever Mix;2019-04-11;2019-04-11;2019-10-11;yellow;short;large;;;;;;;;
163;0.58;male;Greyhound Mix;2019-07-01;2019-08-01;2019-10-19;striped;short;medium;yes;yes;yes;yes;yes;yes;;flat
164;1.17;female;Unknown Mix;2019-09-20;2019-09-20;2019-10-18;brown and white;short;medium;yes;;yes;;;;;both flat and garden
165;7.17;female;Golden Retriever;2019-10-08;2019-10-08;2019-10-11;golden;medium;large;;;;;;;;
166;0.25;female;German Shepherd Dog, Staffordshire Terrier Mix;2019-10-15;2019-10-15;2019-10-15;yellow-brown;short;medium;no;;yes;yes;yes;yes;yes;both flat and garden
167;1.17;female;Unknown Mix;2019-09-21;2019-09-21;2019-10-18;apricot;short;medium;yes;;yes;;;;;both flat and garden
168;3.17;male;Labrador Retriever;2019-05-31;2019-05-31;2019-10-11;yellow;short;large;;;;;;;;
169;3.0;female;Unknown Mix;2019-09-27;2019-09-27;2019-10-18;black and white;long;small;;;yes;;yes;yes;;both flat and garden
170;1.5;male;Unknown Mix;2019-10-16;2019-10-16;2019-10-16;gray;wirehaired;medium;yes;;yes;yes;yes;yes;;both flat and garden
171;1.17;female;Labrador Retriever;2019-06-01;2019-06-01;2019-10-11;yellow;short;medium;;;;;;;;
172;4.08;male;Unknown Mix;2019-10-19;2019-11-03;2019-10-19;striped;short;large;no;;;;;;;
173;1.08;male;German Shepherd Dog Mix;2019-10-15;2019-10-15;2019-10-16;brown;short;medium;yes;;yes;yes;yes;yes;;both flat and garden
174;3.67;male;Staffordshire Terrier Mix;2019-10-11;2019-10-26;2019-10-12;brown and white;short;medium;no;;;;;;;
175;1.17;male;Unknown Mix;2019-09-21;2019-09-21;2019-10-18;black and brown;short;medium;;;yes;;;;;both flat and garden
176;0.92;male;Border Collie Mix;2019-05-06;2019-05-06;2019-10-14;black and white;medium;medium;yes;yes;yes;yes;yes;yes;;flat
177;0.5;female;Dachshund, Spaniel Mix;2019-10-17;2019-10-17;2019-10-18;brown and white;medium;small;;;yes;;yes;yes;;both flat and garden
178;10.42;male;Unknown Mix;2019-10-12;2019-10-27;2019-10-12;black and white;short;medium;no;;;;;;;
179;11.17;female;Labrador Retriever;2019-01-01;2019-01-01;2019-10-11;yellow;short;large;;;;;;;;both flat and garden
180;6.25;male;Unknown Mix;2019-09-27;2019-09-27;2019-10-06;tricolor;short;medium;yes;;yes;;yes;yes;;garden
181;1.0;male;Labrador Retriever Mix;2019-10-07;2019-10-21;2019-10-07;yellow-brown;short;medium;yes;;yes;yes;yes;yes;yes;both flat and garden
182;4.17;male;Golden Retriever;2019-04-13;2019-04-13;2019-10-11;golden;medium;large;;;;;;;;
183;3.17;male;Labrador Retriever;2019-01-01;2019-01-01;2019-10-11;yellow;short;large;;;;;;;;
184;0.5;female;Unknown Mix;2019-09-10;2019-10-26;2019-10-06;black;medium;medium;yes;;yes;yes;yes;;;both flat and garden
185;13.17;female;Labrador Retriever;2019-01-01;2019-01-01;2019-10-11;black;short;large;;;;;;;;
186;4.58;male;Unknown Mix;2019-09-16;2019-09-16;2019-10-06;brown;wirehaired;medium;;;yes;;;;;both flat and garden
187;1.25;female;Spaniel Mix;2019-09-29;2019-09-29;2019-10-06;black and brown;medium;small;;;yes;;;;;both flat and garden
188;1.25;female;Chinese Shar-Pei Mix;2019-09-17;2019-11-16;2019-10-06;brown;wirehaired;medium;;;;;;;;both flat and garden
189;11.17;male;Labrador Retriever;2019-01-01;2019-01-01;2019-10-11;yellow;short;large;;;;;;;;
190;0.42;male;Unknown Mix;2019-09-13;2019-09-13;2019-10-06;gray and white;short;medium;;;yes;;yes;yes;;both flat and garden
191;12.17;male;Labrador Retriever;2019-01-01;2019-01-01;2019-10-11;yellow;short;large;;;;;;;;
192;12.17;male;Labrador Retriever;2019-01-01;2019-01-01;2019-10-11;black;short;large;;;yes;yes;yes;yes;;both flat and garden
193;1.25;male;Dachshund Mix;2019-09-28;2019-11-02;2019-10-06;black;short;small;;;yes;;;;;both flat and garden
194;11.17;male;Golden Retriever;2019-01-01;2019-01-01;2019-10-11;golden;short;large;;;;;;;;
195;6.17;male;Labrador Retriever;2019-02-21;2019-02-21;2019-10-11;yellow;short;large;;;;;;;;
196;6.17;male;Labrador Retriever;2019-01-01;2019-01-01;2019-10-11;black;short;large;yes;;;;;;;
197;11.17;male;Labrador Retriever;2019-01-01;2019-01-01;2019-10-11;yellow;short;large;;;;;;;;
198;8.17;male;Labrador Retriever;2019-02-21;2019-02-21;2019-10-11;yellow;short;large;;;;;;;;
199;1.58;female;Pinscher Mix;2019-09-15;2019-09-15;2019-09-28;apricot;short;small;;;yes;;;;;both flat and garden
200;0.67;male;German Shepherd Dog Mix;2019-08-24;2019-08-24;2019-09-28;black and brown;short;medium;;;yes;;yes;yes;;both flat and garden
201;0.25;female;Unknown Mix;2019-09-21;2019-09-21;2019-09-28;black;medium;medium;;;yes;;yes;yes;;both flat and garden
202;0.33;male;Unknown Mix;2019-08-05;2019-08-05;2019-09-28;apricot;short;medium;;;yes;;yes;yes;;both flat and garden
203;0.92;female;Unknown Mix;2019-08-11;2019-08-11;2019-09-28;black and brown;short;small;;;yes;;;;;both flat and garden
204;0.33;female;Unknown Mix;2019-08-05;2019-08-05;2019-09-28;apricot;short;medium;;;yes;;yes;yes;;both flat and garden
205;2.17;male;Staffordshire Terrier Mix;2019-09-22;2019-10-07;2019-09-24;striped;short;medium;no;;;;;;;
206;1.25;male;Akita Mix;2019-09-10;2019-09-10;2019-09-28;striped;medium;large;;;yes;yes;;;yes;both flat and garden
207;1.25;male;Unknown Mix;2019-09-10;2019-09-10;2019-10-06;brown and white;short;medium;;;yes;;;;;both flat and garden
208;0.33;male;Greyhound Mix;2019-10-04;2019-10-06;2019-10-05;striped;short;medium;;;yes;yes;;;;flat
209;0.33;female;Greyhound Mix;2019-10-04;2019-10-06;2019-10-05;striped;short;medium;;;yes;yes;;;;flat
210;2.33;female;Unknown Mix;2019-09-05;2019-09-05;2019-09-27;brown;short;medium;yes;;;;;;;
211;11.17;male;Unknown Mix;2019-09-26;2019-09-26;2019-09-26;red and white;medium;small;yes;yes;yes;;yes;yes;yes;flat
212;0.42;male;Unknown Mix;2019-09-13;2019-09-13;2019-09-28;black and white;short;small;;;yes;;yes;yes;;both flat and garden
213;9.17;male;German Shepherd Dog Mix;2019-10-05;2019-10-05;2019-10-05;sable;medium;large;no;;;;;;;
214;0.25;female;Unknown Mix;2019-09-21;2019-09-21;2019-09-28;brown;medium;medium;;;yes;;yes;yes;;both flat and garden
215;0.25;male;Unknown Mix;2019-09-18;2019-09-18;2019-09-28;black;short;small;;;yes;;yes;yes;;both flat and garden
216;0.25;male;Unknown Mix;2019-09-21;2019-09-21;2019-09-28;black;medium;medium;;;yes;;yes;yes;;both flat and garden
217;3.5;female;Unknown Mix;2019-09-05;2019-09-05;2019-09-27;brown;short;large;yes;;;;;;;
218;1.17;female;Unknown Mix;2019-08-05;2019-08-05;2019-09-28;apricot;short;medium;;;yes;;yes;yes;;both flat and garden
